날짜,스트레스,우울
2016-01-01,63.2299,6.22495
2016-02-01,55.96854,5.4945
2016-03-01,74.46886,9.36436
2016-04-01,74.95367,6.57616
2016-05-01,80.1853,9.24585
2016-06-01,73.6393,7.89269
2016-07-01,59.70049,6.77655
2016-08-01,58.92911,9.8427
2016-09-01,68.18789,17.34755
2016-10-01,74.22538,9.06054
2016-11-01,70.21762,8.86662
2016-12-01,58.06291,7.22904
2017-01-01,54.81792,6.83257
2017-02-01,52.77526,6.06765
2017-03-01,67.45528,9.86209
2017-04-01,67.25274,7.11484
2017-05-01,72.11376,9.01314
2017-06-01,76.755,7.64059
2017-07-01,65.80047,7.37125
2017-08-01,67.83451,11.83796
2017-09-01,70.26718,18.43137
2017-10-01,70.84895,9.19198
2017-11-01,66.23141,9.1101
2017-12-01,61.79702,7.16871
2018-01-01,68.75673,6.92307
2018-02-01,65.22085,5.73583
2018-03-01,80.76492,10.54083
2018-04-01,82.23874,7.48545
2018-05-01,83.27731,9.09071
2018-06-01,78.25684,7.48761
2018-07-01,67.40142,7.67722
2018-08-01,55.77461,12.83344
2018-09-01,59.37082,19.77591
2018-10-01,72.37233,11.01055
2018-11-01,67.61904,9.3385
2018-12-01,55.195,7.86683
2019-01-01,53.273,7.32169
2019-02-01,45.2424,5.56776
2019-03-01,63.35057,11.25404
2019-04-01,72.55332,8.33872
2019-05-01,100.0,9.48933
2019-06-01,81.11182,7.73755
2019-07-01,53.94742,7.73324
2019-08-01,58.67054,12.62012
2019-09-01,65.10665,15.35014
2019-10-01,67.10622,9.67894
2019-11-01,62.77741,8.68778
2019-12-01,51.11182,7.63197
2020-01-01,45.37599,6.38655
2020-02-01,48.95065,5.90605
2020-03-01,67.19026,10.19823
2020-04-01,73.02736,11.24757
2020-05-01,78.30209,10.61409
2020-06-01,77.20534,10.28442
2020-07-01,63.90648,8.43352
2020-08-01,53.07261,10.1185
2020-09-01,58.24606,20.21762
2020-10-01,60.96315,11.63542
2020-11-01,62.62658,10.42878
2020-12-01,55.07433,11.10536
2021-01-01,46.05688,9.33204
2021-02-01,43.74919,6.8455
2021-03-01,60.97608,14.64124
2021-04-01,63.39366,10.4137
2021-05-01,69.10148,10.8037
2021-06-01,63.83968,9.54104
2021-07-01,49.35789,8.21374
2021-08-01,48.24391,8.86446
2021-09-01,52.47791,11.84443
2021-10-01,54.46024,11.43072
2021-11-01,51.42857,10.73906
2021-12-01,51.24542,10.65503
2022-01-01,51.82288,8.5154
2022-02-01,46.70114,7.98965
2022-03-01,58.96358,14.1198
2022-04-01,57.57595,9.79745
2022-05-01,60.84464,9.91596
2022-06-01,54.443,8.45507
2022-07-01,48.08877,7.8065
2022-08-01,46.83473,8.0823
2022-09-01,51.55569,11.60094
2022-10-01,58.93126,10.71105
2022-11-01,60.66795,10.15729
2022-12-01,52.48006,10.22839
2023-01-01,49.4096,8.62529
2023-02-01,52.44559,7.99827
2023-03-01,65.89743,15.32859
2023-04-01,64.54427,9.57552
2023-05-01,66.63434,9.69834
2023-06-01,60.59685,7.56948
2023-07-01,47.97241,7.31307
2023-08-01,48.79551,7.02003
2023-09-01,49.02822,9.02822
2023-10-01,49.38159,9.98491
2023-11-01,50.62917,9.76082
2023-12-01,41.89614,9.39668
2024-01-01,44.18659,8.28269
2024-02-01,47.326,6.92738
2024-03-01,56.36716,13.99267
2024-04-01,56.84335,8.08877
2024-05-01,62.72786,8.47662
2024-06-01,57.65136,6.70114
2024-07-01,57.26352,6.98987
2024-08-01,51.97586,6.30683
2024-09-01,51.28636,7.62982
2024-10-01,50.86619,7.97672
2024-11-01,46.32837,7.39064
2024-12-01,44.22969,7.0265
2025-01-01,42.39819,5.71428
2025-02-01,42.90023,5.26179
2025-03-01,50.70243,9.77591
2025-04-01,46.71622,5.17776
2025-05-01,48.73087,5.10881
2025-06-01,45.39107,4.2146
